Actor_Name,Actor_ID
Paul Rudd,0
Chris Evans,0
Tom Hanks,0
Robert Downey Jr,0
Jon Favreau,0
Daisy Ridley,0
Harrison Ford,0
James Franco,0
Amy Adams,0
John David Washington,0
Bill Murray,0
Michael B. Jordan,0
Denzel Washington,0
Ben Stiller,0
Jack Black,0
John Krananski,0
Elizabeth Debicki,0
Robert Pattinson,0
Himesh Patel,0
Kenneth Branagh,0
Leonardo DiCaprio,0
Joseph Gordon-Levitt,0
Cillian Murphy,0
Tom Hardy,0
Jeremy Renner,0
Forest Whitaker,0
Chris Sanders,0
Daveigh Chase,0
Ving Rhames,0
Brad Bird,0
Holly Hunter,0
Craig T. Nelson,0
Samuel L. Jackson,0
Sarah Vowell,0
Jason Lee,0
Huckleberry Mulner,0
Scarlett Johansson,0
Chris Hemsworth,0
Mark Ruffalo,0
Chadwick Boseman,0
Elizabeth Olsen,0
Don Cheadle,0
Tom Holland,0
Josh Brolin,0
Sebastian Stan,0
Chis Pratt,0
Gwyneth Paltrow,0
Tessa Thompson,0
Tom Hiddleston,0
Benedict Cumberpatch,0
Anthony Mackie,0
Benedict Wong,0
Dave Bautista,0
Michael Pena,0
Michael Douglas,0
Evangeline Lilly,0
Ben Affleck,0
Bryan Cranston,0
Robin Wright,0
Gary Sinise,0
Emma Stone,0
Ryan Gosling,0
Mel Gibson,0
Matthew McConaughey,0
Matt Damon,0
Christian Bale,0
Andrew Garfield,0
Dean-Charles Chapman,0
George MacKay,0
Harry Styles,0
Cillian Murphy,0
Fionn Whitehead,0
Jessica Chastain,0
Anne Hathaway,0
Timothee Chalamet,0
Harrison Ford,0
Jared Leto,0
Zoe Saldana,0
Sam Worthington,0
Sigourney Weaver,0
Daniel Craig,0
Rami Malek,0
Joaquin Pheonix,0
Lupita Nyong'o,0
Letitia Wright,0
Robert De Niro,0
Zendaya,0
Rebecca Ferguson,0
Jason Momoa,0
Oscar Isaac,0
Stellan Skarsgard,0
Marlon Brando,0
Al Pacino,0
James Caan,0
Sandra Bullock,0
Quintom Aaron,0
Tim McGraw,0
Will Poulter,0
Eddie Redmayne,0
Felicity Jones,0