Movie_ID,Award_ID
1,13
2,13
2,20
2,23
2,15
3,23
5,6
5,23
16,1
16,11
16,18
17,1
17,2
17,9
17,18
17,13
18,3
18,9
18,15
18,19
19,1
19,9
19,15
19,23
19,16
20,9
20,15
20,24
20,18
21,1
21,2
21,17
21,24
21,13
22,2
23,9
23,15
23,2
24,2
24,18
24,20
24,23
25,3
26,1
26,2
26,10
27,19
27,15
27,18
27,24
27,13
28,2
28,21
29,14
29,19
29,17
30,15
30,13
30,22
31,20
31,15
31,13
32,21
33,13
34,15
34,13
35,18
35,20
35,23
36,18
36,20
37,23
37,18
38,17